Who Moved My Cheese? (Hardcover),Spencer Johnson,3.77,399337,1998,business,www.goodreads.com//book/show/4894.Who_Moved_My_Cheese_
Steve Jobs (Hardcover),Walter Isaacson,4.1,1320264,2011,business,www.goodreads.com//book/show/11084145-steve-jobs
Blink: The Power of Thinking Without Thinking (Paperback),Malcolm Gladwell,3.91,688496,2005,business,www.goodreads.com//book/show/40102.Blink
Drive: The Surprising Truth About What Motivates Us (Hardcover),Daniel H. Pink,3.93,185753,2008,business,www.goodreads.com//book/show/6452796-drive
Delivering Happiness: A Path to Profits_ Passion_ and Purpose (Hardcover),Tony Hsieh,3.98,97206,2010,business,www.goodreads.com//book/show/6828896-delivering-happiness
Built to Last: Successful Habits of Visionary Companies (Hardcover),James C. Collins,3.98,106884,1994,business,www.goodreads.com//book/show/4122.Built_to_Last
The Five Dysfunctions of a Team: A Leadership Fable (Hardcover),Patrick Lencioni,3.99,108260,1998,business,www.goodreads.com//book/show/21343.The_Five_Dysfunctions_of_a_Team
Influence: The Psychology of Persuasion (Paperback),Robert B. Cialdini,4.18,161757,1984,business,www.goodreads.com//book/show/28815.Influence
Creativity_ Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration (Hardcover),Ed Catmull,4.18,110486,2009,business,www.goodreads.com//book/show/18077903-creativity-inc
Zero to One: Notes on Startups_ or How to Build the Future (Hardcover),Peter Thiel,4.15,166375,2014,business,www.goodreads.com//book/show/18050143-zero-to-one
The Big Short: Inside the Doomsday Machine (Paperback),Michael   Lewis,4.33,88174,2009,business,www.goodreads.com//book/show/26889576-the-big-short
The $100 Startup: Reinvent the Way You Make a Living_ Do What You Love_ and Create a New Future (Hardcover),Chris Guillebeau,3.83,112838,2012,business,www.goodreads.com//book/show/12605157-the-100-startup
Purple Cow: Transform Your Business by Being Remarkable (Hardcover),Seth Godin,3.75,61689,2003,business,www.goodreads.com//book/show/641604.Purple_Cow
Linchpin: Are You Indispensable? (Hardcover),Seth Godin,3.83,75922,2010,business,www.goodreads.com//book/show/7155145-linchpin
The One Minute Manager (Hardcover),Kenneth H. Blanchard,3.87,143328,1981,business,www.goodreads.com//book/show/763362.The_One_Minute_Manager
Elon Musk: Tesla_ SpaceX_ and the Quest for a Fantastic Future (Hardcover),Ashlee Vance,4.23,239248,2015,business,www.goodreads.com//book/show/25541028-elon-musk
The Intelligent Investor (Paperback),Benjamin Graham,4.24,130874,2003,business,www.goodreads.com//book/show/106835.The_Intelligent_Investor
Tribes: We Need You to Lead Us (Hardcover),Seth Godin,3.8,79562,2008,business,www.goodreads.com//book/show/3828382-tribes
The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business (Paperback),Clayton M. Christensen,3.95,77486,1997,business,www.goodreads.com//book/show/2615.The_Innovator_s_Dilemma
First_ Break All the Rules: What the World's Greatest Managers Do Differently (Hardcover),Marcus Buckingham,3.89,94737,1998,business,www.goodreads.com//book/show/50937.First_Break_All_the_Rules
